name,order,rank,slug,revenues_m,revenue_percent_change,profits_m,profits_percent_change,assets_m,total_shareholder_equity,profit_as_of_revenues,profits_as_of_assets,profit_as_a_of_shareholder_equity,industry,headquarters_state,market_value_m,ticker,year,employees,headquarters_city,gained_in_rank,dropped_in_rank,newcomer_to_the_fortune_500,profitable,founder_is_ceo,foreign_born_ceo,female_ceo,growth_in_jobs,sector,global_500,best_companies,world_s_most_admired_companies,change_the_world,fastest_growing_companies,change_in_rank_full_1000,change_in_rank_500_only,measure_up,measure_up_rank,state
Host Hotels & Resorts,514,514,/company/host-hotels-resorts/,"$5,469",-1%,$920,-15.4%,"$12,305",,,,,Real estate,MD,"$7,792.9",HST,2020,,Bethesda,,,,yes,no,,no,no,Financials,no,no,,,,-12,,,,
Select Medical Holdings,515,515,/company/select-medical-holdings/,"$5,453.9",7.3%,$148.4,7.7%,"$7,340.3",,,,,Health Care: Medical Facilities,PA,"$2,014.7",SEM,2020,,Mechanicsburg,,,,yes,no,,no,yes,Health Care,no,no,,,,23,,,,
Par Pacific Holdings,516,516,/company/par-pacific-holdings/,"$5,401.5",58.4%,$40.8,3.5%,"$2,700.6",,,,,Petroleum Refining,TX,$380.6,PARR,2020,,Houston,,,,yes,no,,no,yes,Energy,no,no,,,,181,,,,
Sonoco Products,517,517,/company/sonoco-products/,"$5,374.2",-0.3%,$291.8,-6.9%,"$5,126.3",,,,,"Packaging, Containers",SC,"$4,650.7",SON,2020,,Hartsville,,,,yes,no,,no,no,Materials,no,no,,,,1,,,,
Roper Technologies,518,518,/company/roper-technologies/,"$5,366.8",3.4%,"$1,767.9",87.2%,"$18,108.9",,,,,"Scientific,Photographic and Control Equipment",FL,"$33,086.1",ROP,2020,,Sarasota,,,,yes,no,,no,yes,Technology,no,no,,,,12,,,,
Harley-Davidson,519,519,/company/harley-davidson/,"$5,361.8",-6.2%,$423.6,-20.3%,"$10,528.2",,,,,Transportation Equipment,WI,"$2,892.7",HOG,2020,,Milwaukee,,,,yes,no,,no,no,Transportation,no,no,,,,-27,,,,
Jefferies Financial Group,520,520,/company/leucadia-national/,"$5,358.7",-34.3%,$964.7,-6%,"$49,460.2",,,,,Diversified Financials,NY,"$3,788.1",JEF,2020,,New York,,,,yes,no,,no,yes,Financials,no,no,,,,-148,,,,
Kelly Services,521,521,/company/kelly-services/,"$5,355.6",-2.9%,$112.4,390.8%,"$2,480.6",,,,,Temporary Help,MI,$496.4,KELYA,2020,,Troy,,,,yes,no,,no,no,Business Services,no,no,,,,-18,,,,
Microchip Technology,522,522,/company/microchip-technology/,"$5,349.5",34.4%,$355.9,39.4%,"$18,350",,,,,Semiconductors and Other Electronic Components,AZ,"$16,240.7",MCHP,2020,,Chandler,,,,yes,no,,no,yes,Technology,no,no,,,,107,,,,
McCormick,523,523,/company/mccormick/,"$5,347.4",-1.1%,$702.7,-24.7%,"$10,362.1",,,,,Food Consumer Products,MD,"$18,767.4",MKC,2020,,Hunt Valley,,,,yes,no,,no,yes,"Food, Beverages & Tobacco",no,no,,,,-9,,,,
MDU Resources Group,524,524,/company/mdu-resources-group/,"$5,336.9",17.8%,$335.5,23.2%,"$7,683.1",,,,,Energy,ND,"$4,310.2",MDU,2020,,Bismarck,,,,yes,no,,no,yes,Energy,no,no,,,,50,,,,
Fastenal,525,525,/company/fastenal/,"$5,333.7",7.4%,$790.9,5.2%,"$3,799.9",,,,,Wholesalers: Diversified,MN,"$17,949.9",FAST,2020,,Winona,,,,yes,no,,no,yes,Wholesalers,no,no,,,,19,,,,
Big Lots,526,526,/company/big-lots/,"$5,323.2",1.6%,$242.5,54.5%,"$3,189.3",,,,,Specialty Retailers: Other,OH,$557,BIG,2020,,Columbus,,,,yes,no,,no,no,Retailing,no,no,,,,-1,,,,
PENN Entertainment,527,527,/company/penn-national-gaming/,"$5,301.4",47.8%,$43.9,-53.1%,"$14,194.5",,,,,"Hotels, Casinos, Resorts",PA,"$1,478.3",PENN,2020,,Wyomissing,,,,yes,no,,no,yes,"Hotels, Restaurants & Leisure",no,no,,,,149,,,,
Western Union,528,528,/company/western-union/,"$5,292.1",-5.3%,"$1,058.3",24.2%,"$8,758.5",,,,,Financial Data Services,CO,"$7,489.9",WU,2020,,Denver,,,,yes,no,,no,no,Business Services,no,no,,,,-30,,,,
Under Armour,529,529,/company/under-armour/,"$5,267.1",1.4%,$92.1,,"$4,843.5",,,,,Apparel,MD,"$3,878.1",UAA,2020,,Baltimore,,,,yes,no,,no,yes,Apparel,no,no,,,,,,,,
Xylem,530,530,/company/xylem/,"$5,249",0.8%,$401,-27%,"$7,710",,,,,Industrial Machinery,NY,"$11,737.9",XYL,2020,,Rye Brook,,,,yes,no,,no,no,Industrials,no,no,,,,-2,,,,
Skechers U.S.A.,531,531,/company/skechers-u-s-a/,"$5,242.5",12.4%,$346.6,15.1%,"$4,892.9",,,,,Apparel,CA,"$3,724.9",SKX,2020,,Manhattan Beach,,,,yes,yes,,no,no,Apparel,no,no,,,,28,,,,
Domtar,532,532,/company/domtar/,"$5,220",-4.3%,$84,-70.3%,"$4,903",,,,,Forest and Paper Products,SC,"$1,217.8",,2020,,Fort Mill,,,,yes,no,,no,no,Materials,no,no,,,,-21,,,,
NiSource,533,533,/company/nisource/,"$5,208.9",1.8%,$383.1,,"$22,659.8",,,,,Utilities: Gas and Electric,IN,"$9,545.1",NI,2020,,Merrillville,,,,yes,no,,no,yes,Energy,no,no,,,,2,,,,
Marathon Oil,534,534,/company/marathon-oil/,"$5,190",-21.1%,$480,-56.2%,"$20,245",,,,,"Mining, Crude-Oil Production",TX,"$2,618.3",,2020,,Houston,,,,yes,no,,no,no,Energy,no,no,,,,-78,,,,
National General Holdings,535,535,/company/national-general-holdings/,"$5,179.6",12.4%,$348.1,67.9%,"$9,756.5",,,,,Insurance: Property and Casualty (Stock),NY,"$1,881.9",,2020,,New York,,,,yes,no,,no,yes,Financials,no,no,,,,30,,,,
Telephone & Data Systems,536,536,/company/telephone-data-systems/,"$5,176",1.3%,$121,-10.4%,"$10,781",,,,,Telecommunications,IL,"$1,923.7",TDS,2020,,Chicago,,,,yes,no,,no,no,Telecommunications,no,no,,,,,,,,
Agilent Technologies,537,537,/company/agilent-technologies/,"$5,163",5.1%,"$1,071",238.9%,"$9,452",,,,,"Scientific,Photographic and Control Equipment",CA,"$22,177.2",A,2020,,Santa Clara,,,,yes,no,,no,yes,Technology,no,no,,,,10,,,,
Ametek,538,538,/company/ametek/,"$5,158.6",6.5%,$861.3,10.7%,"$9,844.6",,,,,"Scientific,Photographic and Control Equipment",PA,"$16,506.3",AME,2020,,Berwyn,,,,yes,no,,no,no,Technology,no,no,,,,14,,,,
Evergy,539,539,/company/westar-energy/,"$5,147.8",20.4%,$669.9,25%,"$25,975.9",,,,,Utilities: Gas and Electric,MO,"$12,477.6",EVRG,2020,,Kansas City,,,,yes,no,,no,no,Energy,no,no,,,,59,,,,
International Flavors & Fragrances,540,540,/company/international-flavors-fragrances/,"$5,140.1",29.2%,$455.9,35.2%,"$13,287.4",,,,,Chemicals,NY,"$10,902.4",IFF,2020,,New York,,,,yes,no,,no,yes,Chemicals,no,no,,,,90,,,,
ADT,541,541,/company/adt/,"$5,125.7",11.9%,$-424.2,,"$16,083.7",,,,,Diversified Outsourcing Services,FL,"$3,282.7",ADT,2020,,Boca Raton,,,,no,no,,no,no,Business Services,no,no,,,,25,,,,
Welltower,542,542,/company/welltower/,"$5,121.3",9%,"$1,232.4",53.1%,"$33,380.8",,,,,Real estate,OH,"$18,795.2",WELL,2020,,Toledo,,,,yes,no,,no,yes,Financials,no,no,,,,16,,,,
Windstream Holdings II,543,543,/company/windstream-holdings/,"$5,115.4",-10.5%,"$-3,090",,"$9,897.5",,,,,Telecommunications,AR,$2.2,WINMQ,2020,,Little Rock,,,,no,no,,no,no,Telecommunications,no,no,,,,-50,,,,
Michaels,544,544,/company/michaels-cos/,"$5,072",-3.8%,$272.6,-14.7%,"$3,838.1",,,,,Specialty Retailers: Other,TX,$237.9,MIK,2020,,Irving,,,,yes,no,,no,no,Retailing,no,no,,,,-21,,,,
Kemper,545,545,/company/kemper/,"$5,039.2",35.3%,$531.1,179.4%,"$12,989.1",,,,,Insurance: Property and Casualty (Stock),IL,"$4,970.1",KMPR,2020,,Chicago,,,,yes,no,,no,yes,Financials,no,no,,,,115,,,,
Hyatt Hotels,546,546,/company/hyatt-hotels/,"$5,020",12.7%,$766,-0.4%,"$8,417",,,,,"Hotels, Casinos, Resorts",IL,"$4,852.5",H,2020,,Chicago,,,,yes,no,,no,yes,"Hotels, Restaurants & Leisure",no,yes,,,,34,,,,
Alexion Pharmaceuticals,547,547,/company/alexion-pharmaceuticals/,"$4,991.1",20.8%,"$2,404.3",2998.3%,"$17,544.6",,,,,Pharmaceuticals,MA,"$19,942.4",,2020,,Boston,,,,yes,no,,no,yes,Health Care,no,no,,,,67,,,,
Resideo Technologies,548,548,/company/resideo-technologies/,"$4,988",,$36,,"$5,128",,,,,"Building Materials, Glass",TX,$595,REZI,2020,,Austin,,,,yes,no,,no,no,Materials,no,no,,,,,,,,
CACI International,549,549,/company/caci-international/,"$4,986.3",11.6%,$265.6,-11.8%,"$5,086.8",,,,,Information Technology Services,VA,"$5,293.9",CACI,2020,,Arlington,,,,yes,no,,no,yes,Technology,no,no,,,,29,,,,
Electronic Arts,550,550,/company/electronic-arts/,"$4,950",-3.9%,"$1,019",-2.3%,"$8,957",,,,,Entertainment,CA,"$29,016.7",EA,2020,,Redwood City,,,,yes,no,,no,yes,Media,no,no,,,,-17,,,,
Vulcan Materials,551,551,/company/vulcan-materials/,"$4,929.1",12.5%,$617.7,19.7%,"$10,648.8",,,,,"Building Materials, Glass",AL,"$14,325.2",VMC,2020,,Birmingham,,,,yes,no,,no,yes,Materials,no,no,,,,37,,,,
TreeHouse Foods,552,552,/company/treehouse-foods/,"$4,926.9",-15.2%,$-361,,"$5,139.4",,,,,Food Consumer Products,IL,"$2,484",THS,2020,,Oak Brook,,,,no,no,,no,no,"Food, Beverages & Tobacco",no,no,,,,-63,,,,
Global Payments,553,553,/company/global-payments/,"$4,911.9",45.9%,$430.6,-4.7%,"$44,480.2",,,,,Financial Data Services,GA,"$43,287.5",GPN,2020,,Atlanta,,,,yes,no,,no,yes,Business Services,no,no,,,,150,,,,
Hanover Insurance Group,554,554,/company/hanover-insurance-group/,"$4,897.4",-9.4%,$425.1,8.7%,"$12,490.5",,,,,Insurance: Property and Casualty (Stock),MA,"$3,457.4",THG,2020,,Worcester,,,,yes,no,,no,yes,Financials,no,no,,,,-38,,,,
Camping World Holdings,555,555,/company/camping-world-holdings/,"$4,892",2.1%,$-60.6,-682.7%,"$3,376.2",,,,,"Automotive Retailing, Services",IL,$502.1,CWH,2020,,Lincolnshire,,,,no,no,,no,no,Retailing,no,no,,,,-2,,,,
Cornerstone Building Brands,556,556,/company/nci-building-systems/,"$4,889.7",144.4%,$-15.4,-124.4%,"$5,564.3",,,,,"Building Materials, Glass",NC,$574.9,,2020,,Cary,,,,no,no,,no,yes,Materials,no,no,,,,431,,,,
Yellow,557,557,/company/yrc-worldwide/,"$4,871.2",-4.3%,$-104,-614.9%,"$1,831.6",,,,,"Trucking, Truck Leasing",KS,$60.6,YELL,2020,,Overland Park,,,,no,no,,no,no,Transportation,no,no,,,,-20,,,,
CME Group,558,558,/company/cme-group/,"$4,868",13%,"$2,116.5",7.9%,"$75,215.3",,,,,Securities,IL,"$61,984.7",CME,2020,,Chicago,,,,yes,no,,no,no,Financials,no,no,,,,36,,,,
Chewy,559,559,/company/chewy/,"$4,846.7",37.2%,$-252.4,,$932.3,,,,,Internet Services and Retailing,FL,"$14,943.5",CHWY,2020,,Dania Beach,,,,no,no,,no,yes,Retailing,no,no,,,,,,,,
Knight-Swift Transportation Hldgs.,560,560,/company/knight-swift-transportation-holdings/,"$4,844",-9.4%,$309.2,-26.3%,"$8,281.7",,,,,"Trucking, Truck Leasing",AZ,"$5,568.6",KNX,2020,,Phoenix,,,,yes,no,,no,yes,Transportation,no,no,,,,-39,,,,
Moody's,561,561,/company/moodys/,"$4,829",8.7%,"$1,422",8.6%,"$10,265",,,,,Financial Data Services,NY,"$39,594.4",MCO,2020,,New York,,,,yes,no,,no,no,Business Services,no,no,,,,21,,,,
Coca-Cola Consolidated,562,562,/company/coca-cola-bottling/,"$4,826.5",4.3%,$11.4,,"$3,126.9",,,,,Beverages,NC,"$1,954.7",COKE,2020,,Charlotte,,,,yes,no,,no,yes,"Food, Beverages & Tobacco",no,no,,,,1,,,,
Carlisle,563,563,/company/carlisle/,"$4,811.6",5.8%,$472.8,-22.6%,"$5,496",,,,,"Building Materials, Glass",AZ,"$6,976.9",CSL,2020,,Scottsdale,,,,yes,no,,no,yes,Materials,no,no,,,,7,,,,
Sealed Air,564,564,/company/sealed-air/,"$4,791.1",1.2%,$263,36.2%,"$5,765.2",,,,,"Packaging, Containers",NC,"$3,821.9",SEE,2020,,Charlotte,,,,yes,no,,no,yes,Materials,no,no,,,,-9,,,,
A-Mark Precious Metals,565,565,/company/a-mark-precious-metals/,"$4,783.2",-37.1%,$2.2,,$705.4,,,,,zMiscellaneous,CA,$86.3,AMRK,2020,,El Segundo,,,,yes,no,,no,no,Materials,no,no,,,,-164,,,,
Watsco,566,566,/company/watsco/,"$4,770.4",4.9%,$246,1.2%,"$2,556.2",,,,,Wholesalers: Diversified,FL,"$6,049.8",WSO,2020,,Miami,,,,yes,no,,no,yes,Wholesalers,no,no,,,,6,,,,
Taylor Morrison Home,567,567,/company/taylor-morrison-home/,"$4,762.1",12.6%,$254.7,23.4%,"$5,245.7",,,,,Homebuilders,AZ,"$1,478.9",TMHC,2020,,Scottsdale,,,,yes,no,,yes,no,Engineering & Construction,no,no,,,,37,,,,
IAC/InterActiveCorp,568,568,/company/iacinteractivecorp/,"$4,757.1",11.6%,$431.1,-31.2%,"$8,332.8",,,,,Internet Services and Retailing,NY,"$15,191.5",IAC,2020,,New York,,,,yes,no,,no,yes,Technology,no,no,,,,32,,,,
Leggett & Platt,569,569,/company/leggett-platt/,"$4,752.5",11.3%,$333.8,9.1%,"$4,816.4",,,,,"Home Equipment, Furnishings",MO,"$3,528.4",LEG,2020,,Carthage,,,,yes,no,,no,no,Household Products,no,no,,,,30,,,,
OneMain Holdings,570,570,/company/onemain-holdings/,"$4,749",12.2%,$855,91.3%,"$22,817",,,,,Diversified Financials,IN,"$2,604",OMF,2020,,Evansville,,,,yes,no,,no,no,Financials,no,no,,,,33,,,,
Schneider National,571,571,/company/schneider-national/,"$4,747",-4.6%,$147,-45.3%,"$3,660.1",,,,,Transportation and Logistics,WI,"$3,425.5",SNDR,2020,,Green Bay,,,,yes,no,,no,no,Transportation,no,no,,,,-29,,,,
Martin Marietta Materials,572,572,/company/martin-marietta-materials/,"$4,739.1",11.7%,$611.9,30.2%,"$10,131.6",,,,,"Building Materials, Glass",NC,"$11,769.9",MLM,2020,,Raleigh,,,,yes,no,,no,yes,Materials,no,no,,,,29,,,,
Gen Digital,573,573,/company/symantec/,"$4,731",-3.2%,$31,-97.3%,"$15,938",,,,,Computer Software,AZ,"$11,233.2",GEN,2020,,Tempe,,,,yes,no,,no,yes,Technology,no,no,,,,-23,,,,
Hasbro,574,574,/company/hasbro/,"$4,720.2",3.1%,$520.5,136.1%,"$8,855.6",,,,,"Toys, Sporting Goods",RI,"$9,793.5",HAS,2020,,Pawtucket,,,,yes,no,,no,no,Household Products,no,no,,,,-7,,,,
Block,575,575,/company/square/,"$4,713.5",42.9%,$375.4,,"$4,551.3",,,,,Financial Data Services,CA,"$22,797.6",SQ,2020,,San Francisco,,,,yes,yes,,no,yes,Business Services,no,no,,,,140,,,,
Terex,576,576,/company/terex/,"$4,680.3",-8.7%,$54.4,-52.2%,"$3,195.6",,,,,Construction and Farm Machinery,CT,"$1,015.3",TEX,2020,,Westport,,,,yes,no,,no,no,Industrials,no,no,,,,-42,,,,
Syneos Health,577,577,/company/syneos-health/,"$4,675.8",6.5%,$131.3,440.5%,"$7,453.8",,,,,Health Care: Pharmacy and Other Services,NC,"$4,109.4",SYNH,2020,,Morrisville,,,,yes,no,,no,no,Health Care,no,no,,,,10,,,,
FMC,578,578,/company/fmc/,"$4,661.9",-1.5%,$477.4,-4.9%,"$9,872.7",,,,,Chemicals,PA,"$10,574",FMC,2020,,Philadelphia,,,,yes,no,,no,no,Chemicals,no,no,,,,-22,,,,
Boise Cascade,579,579,/company/boise-cascade/,"$4,643.4",-7%,$80.9,295.2%,"$1,693.4",,,,,Wholesalers: Diversified,ID,$932.1,BCC,2020,,Boise,,,,yes,no,,no,no,Wholesalers,no,no,,,,-39,,,,
SS&C Technologies Holdings,580,580,/company/ssc-technologies-holdings/,"$4,632.9",35.4%,$438.5,324.9%,"$16,741.1",,,,,Computer Software,CT,"$11,203.5",SSNC,2020,,Windsor,,,,yes,yes,,no,yes,Technology,no,no,,,,115,,,,
Continental Resources,581,581,/company/continental-resources/,"$4,631.9",-1.6%,$775.6,-21.5%,"$15,727.9",,,,,"Mining, Crude-Oil Production",OK,"$2,789.4",CLR,2020,,Oklahoma City,,,,yes,no,,no,yes,Energy,no,no,,,,-24,,,,
Peabody Energy,582,582,/company/peabody-energy/,"$4,623.4",-17.2%,$-211.3,-132.7%,"$6,542.8",,,,,"Mining, Crude-Oil Production",MO,$281.6,BTU,2020,,St. Louis,,,,no,no,,no,no,Energy,no,no,,,,-83,,,,
Encompass Health,583,583,/company/healthsouth/,"$4,605",7.7%,$358.7,22.7%,"$6,080.7",,,,,Health Care: Medical Facilities,AL,"$6,302.7",EHC,2020,,Birmingham,,,,yes,no,,no,yes,Health Care,no,yes,,,,13,,,,
Greif,584,584,/company/greif/,"$4,595",18.6%,$171,-18.3%,"$5,426.7",,,,,"Packaging, Containers",OH,"$1,698.1",GEF,2020,,Delaware,,,,yes,no,,no,yes,Materials,no,no,,,,55,,,,
Concho Resources,585,585,/company/concho-resources/,"$4,592",10.6%,$-705,-130.8%,"$24,732",,,,,"Mining, Crude-Oil Production",TX,"$8,428.9",,2020,,Midland,,,,no,no,,no,no,Energy,no,no,,,,26,,,,
Hubbell,586,586,/company/hubbell/,"$4,591",2.4%,$400.9,11.3%,"$4,903",,,,,"Electronics, Electrical Equip.",CT,"$6,239.4",HUBB,2020,,Shelton,,,,yes,no,,no,no,Industrials,no,no,,,,-9,,,,
CF Industries Holdings,587,587,/company/cf-industries-holdings/,"$4,590",3.6%,$493.1,70.1%,"$12,171.9",,,,,Chemicals,IL,"$5,879.9",CF,2020,,Deerfield,,,,yes,no,,no,no,Chemicals,no,no,,,,-3,,,,
KLA,588,588,/company/kla-tencor/,"$4,568.9",13.2%,"$1,175.6",46.5%,"$9,008.5",,,,,Semiconductors and Other Electronic Components,CA,"$22,534.4",KLAC,2020,,Milpitas,,,,yes,no,,no,yes,Technology,no,no,,,,35,,,,
Genesis HealthCare,589,589,/company/genesis-healthcare/,"$4,565.8",-8.3%,$14.6,,"$4,662.1",,,,,Health Care: Medical Facilities,PA,$138.9,GENN,2020,,Kennett Square,,,,yes,no,,no,no,Health Care,no,no,,,,-46,,,,
Brunswick,590,590,/company/brunswick/,"$4,556.7",-11.7%,$-131,-149.4%,"$3,564.4",,,,,Transportation Equipment,IL,"$2,806.8",BC,2020,,Mettawa,,,,no,no,,no,no,Transportation,no,no,,,,-58,,,,
KB Home,591,591,/company/kb-home/,"$4,552.7",0.1%,$268.8,57.8%,"$5,015.5",,,,,Homebuilders,CA,"$1,630.8",KBH,2020,,Los Angeles,,,,yes,no,,no,yes,Engineering & Construction,no,no,,,,-20,,,,
Globe Life,592,592,/company/torchmark/,"$4,527.5",5.2%,$760.8,8.5%,"$25,977.5",,,,,"Insurance: Life, Health (stock)",TX,"$7,729.4",GL,2020,,McKinney,,,,yes,no,,no,yes,Financials,no,no,,,,3,,,,
Mattel,593,593,/company/mattel/,"$4,504.6",-0.2%,$-213.5,,"$5,325.2",,,,,"Toys, Sporting Goods",CA,"$3,055.9",MAT,2020,,El Segundo,,,,no,no,,no,no,Household Products,no,no,,,,-18,,,,
Ryerson Holding,594,594,/company/ryerson-holding/,"$4,501.6",2.1%,$82.4,-22.3%,"$2,021.5",,,,,Metals,IL,$199.3,RYI,2020,,Chicago,,,,yes,no,,no,no,Materials,no,no,,,,-8,,,,
Silgan Holdings,595,595,/company/silgan-holdings/,"$4,489.9",0.9%,$193.8,-13.5%,"$4,931.1",,,,,"Packaging, Containers",CT,"$3,214.8",SLGN,2020,,Stamford,,,,yes,no,,no,no,Materials,no,no,,,,-14,,,,
Zebra Technologies,596,596,/company/zebra-technologies/,"$4,485",6.3%,$544,29.2%,"$4,711",,,,,"Electronics, Electrical Equip.",IL,"$9,916",ZBRA,2020,,Lincolnshire,,,,yes,no,,no,yes,Industrials,no,no,,,,11,,,,
Intuitive Surgical,597,597,/company/intuitive-surgical/,"$4,478.5",20.3%,"$1,379.3",22.3%,"$9,733.2",,,,,Medical Products and Equipment,CA,"$57,432",ISRG,2020,,Sunnyvale,,,,yes,no,,no,yes,Health Care,no,no,,,,64,,,,
Warner Music Group,598,598,/company/warner-music-group/,"$4,475",11.7%,$256,-16.6%,"$6,017",,,,,Entertainment,NY,,WMG,2020,,New York,,,,yes,no,,no,yes,Media,no,no,,,,29,,,,
Conduent,599,599,/company/conduent/,"$4,467",-17.2%,"$-1,934",,"$4,514",,,,,Diversified Outsourcing Services,NJ,$519.1,CNDT,2020,,Florham Park,,,,no,no,,no,no,Business Services,no,no,,,,-82,,,,
Tutor Perini,600,600,/company/tutor-perini/,"$4,450.8",-0.1%,$-387.7,-564.7%,"$4,485.8",,,,,"Engineering, Construction",CA,$339.2,TPC,2020,,Sylmar,,,,no,no,,no,yes,Engineering & Construction,no,no,,,,-21,,,,
Juniper Networks,601,601,/company/juniper-networks/,"$4,445.4",-4.3%,$345,-39.1%,"$8,837.7",,,,,Network and Other Communications Equipment,CA,"$6,326.3",JNPR,2020,,Sunnyvale,,,,yes,no,,no,yes,Technology,no,no,,,,-39,,,,
Noble Energy,602,602,/company/noble-energy/,"$4,438",-11%,"$-1,512",,"$20,647",,,,,"Mining, Crude-Oil Production",TX,"$2,929.6",,2020,,Houston,,,,no,no,,no,no,Energy,no,no,,,,-61,,,,
Vertiv Holdings,603,603,/company/vertiv-holdings/,"$4,431.2",3.4%,$-140.8,,"$4,657.4",,,,,"Electronics, Electrical Equip.",OH,"$2,840.8",VRT,2020,,Columbus,,,,no,no,,no,no,Industrials,no,no,,,,,,,,
Tiffany,604,604,/company/tiffany/,"$4,424",-0.4%,$541.1,-7.7%,"$6,660.1",,,,,Specialty Retailers: Other,NY,"$15,694.3",,2020,,New York,,,,yes,no,,no,no,Retailing,no,no,,,,-21,,,,
EQT,605,605,/company/eqt/,"$4,416.5",-10.7%,"$-1,221.7",,"$18,809.2",,,,,Energy,PA,"$1,806.1",EQT,2020,,Pittsburgh,,,,no,no,,no,no,Energy,no,no,,,,-59,,,,
UFP Industries,606,606,/company/universal-forest-products/,"$4,416",-1.6%,$179.7,20.9%,"$1,889.5",,,,,"Building Materials, Glass",MI,"$2,296.8",UFPI,2020,,Grand Rapids,,,,yes,no,,no,no,Materials,no,no,,,,-30,,,,
Diebold Nixdorf,607,607,/company/diebold-nixdorf/,"$4,408.7",-3.7%,$-341.3,,"$3,790.6",,,,,"Computers, Office Equipment",OH,$272.8,DBD,2020,,North Canton,,,,no,no,,no,no,Technology,no,no,,,,-39,,,,
Antero Resources,608,608,/company/antero-resources/,"$4,408.7",6.5%,$-340.1,,"$15,197.6",,,,,"Mining, Crude-Oil Production",CO,$204.4,AR,2020,,Denver,,,,no,yes,,no,no,Energy,no,no,,,,5,,,,
Meritor,609,609,/company/meritor/,"$4,388",5%,$291,148.7%,"$2,815",,,,,Motor Vehicles & Parts,MI,$979.3,,2020,,Troy,,,,yes,no,,no,yes,Motor Vehicles & Parts,no,no,,,,,,,,
Broadridge Financial Solutions,610,610,/company/broadridge-financial-solutions/,"$4,362.2",0.7%,$482.1,12.7%,"$3,880.7",,,,,Financial Data Services,NY,"$10,886.7",BR,2020,,Lake Success,,,,yes,no,,no,yes,Business Services,no,no,,,,-19,,,,
Church & Dwight,611,611,/company/church-dwight/,"$4,357.7",5.1%,$615.9,8.3%,"$6,657.4",,,,,Household and Personal Products,NJ,"$15,773.9",CHD,2020,,Ewing,,,,yes,no,,no,yes,Household Products,no,no,,,,1,,,,
Marriott Vacations Worldwide,612,612,/company/marriott-vacations-worldwide/,"$4,355",46.7%,$138,150.9%,"$9,214",,,,,"Hotels, Casinos, Resorts",FL,"$2,280.3",VAC,2020,,Orlando,,,,yes,no,,no,no,"Hotels, Restaurants & Leisure",no,no,,,,159,,,,
Edwards Lifesciences,613,613,/company/edwards-lifesciences/,"$4,348",15.2%,"$1,046.9",45%,"$6,488.1",,,,,Medical Products and Equipment,CA,"$39,105.8",EW,2020,,Irvine,,,,yes,no,,no,yes,Health Care,no,no,,,,40,,,,
Enovis,614,614,/company/colfax/,"$4,326.3",18%,$-527.6,-476.4%,"$7,386.8",,,,,Industrial Machinery,MD,"$2,339.3",ENOV,2020,,Annapolis Junction,,,,no,no,,no,no,Industrials,no,no,,,,52,,,,
Insperity,615,615,/company/insperity/,"$4,314.8",12.7%,$151.1,11.6%,"$1,395",,,,,Diversified Outsourcing Services,TX,"$1,468.9",NSP,2020,,Kingwood,,,,yes,yes,,no,yes,Business Services,no,no,,,,33,,,,
American Eagle Outfitters,616,616,/company/american-eagle-outfitters/,"$4,308.2",6.8%,$191.3,-27%,"$3,328.7",,,,,Specialty Retailers: Apparel,PA,"$1,329.3",AEO,2020,,Pittsburgh,,,,yes,no,,no,no,Retailing,no,no,,,,8,,,,
Keysight Technologies,617,617,/company/keysight-technologies/,"$4,303",11%,$621,276.4%,"$6,623",,,,,"Scientific,Photographic and Control Equipment",CA,"$15,681.2",KEYS,2020,,Santa Rosa,,,,yes,no,,no,yes,Technology,no,no,,,,21,,,,
JELD-WEN Holding,618,618,/company/jeld-wen-holding/,"$4,289.8",-1.3%,$63,-55.6%,"$3,381.3",,,,,"Building Materials, Glass",NC,$980.3,JELD,2020,,Charlotte,,,,yes,no,,no,yes,Materials,no,no,,,,-28,,,,
Iron Mountain,619,619,/company/iron-mountain/,"$4,262.6",0.9%,$267.4,-26.4%,"$13,816.8",,,,,Diversified Outsourcing Services,MA,"$6,838.8",IRM,2020,,Boston,,,,yes,no,,no,no,Business Services,no,no,,,,-14,,,,
Nasdaq,620,620,/company/nasdaq/,"$4,262",-0.4%,$774,69%,"$13,924",,,,,Securities,NY,"$15,604.8",NDAQ,2020,,New York,,,,yes,no,,yes,yes,Financials,no,no,,,,-23,,,,
Gartner,621,621,/company/gartner/,"$4,245.3",6.8%,$233.3,90.5%,"$7,151.3",,,,,Information Technology Services,CT,"$8,871.8",IT,2020,,Stamford,,,,yes,no,,no,yes,Technology,no,no,,,,10,,,,
Sinclair,622,622,/company/sinclair-broadcast-group/,"$4,240",38.8%,$47,-86.2%,"$17,370",,,,,Entertainment,MD,"$1,472.5",SBGI,2020,,Hunt Valley,,,,yes,no,,no,yes,Media,no,no,,,,129,,,,
Ingles Markets,623,623,/company/ingles-markets/,"$4,202",2.7%,$81.6,-16.2%,"$1,867.3",,,,,Food & Drug Stores,NC,$732.6,IMKTA,2020,,Black Mountain,,,,yes,no,,no,yes,Food & Drug Stores,no,no,,,,-6,,,,
Monster Beverage,624,624,/company/monster-beverage/,"$4,200.8",10.3%,"$1,107.8",11.6%,"$5,150.4",,,,,Beverages,CA,"$30,205.8",MNST,2020,,Corona,,,,yes,no,,no,yes,"Food, Beverages & Tobacco",no,no,,,,27,,,,
